well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
b32e4903,3,4279,5770,1104687.5454301834,14.241164526492607,24.29296875,11184.37,12246.0,1
b3388334,1,4806,6080,11308299.997748375,43.204658611188016,79.2724609375,11481.52,12365.0,2
b37fd114,2,3625,8161,1768180.6954507828,15.115553952602315,32.4052734375,11373.26,12671.0,1
b38e3116,4,1754,6211,587991.1678447723,10.836972761577425,27.3291015625,12012.82,13219.0,2
b4d8dd4f,1,1012,4259,1255155.2550497055,17.368909003053414,40.771484375,11194.49,11895.0,0
b56bc0aa,1,345,5602,46727.447076797485,5.514185434184401,12.77734375,11192.6,12110.0,3
b585b4fa,1,1102,4294,440218.70436000824,10.502375395245078,24.2529296875,11233.57,12164.0,3
b5aa9634,2,536,7326,71318.57685470581,6.835376175414677,12.6591796875,12541.7,13768.0,1
b7fea9ef,2,1392,3866,407140.3375797272,11.251123313673412,22.4990234375,10769.62,11726.0,2
b85f7b06,1,3502,3803,786356.7435770035,14.43133344874685,21.0234375,11393.1,12909.0,2
b8c49c1a,1,3072,4319,3740548.8062229156,29.544335976170892,43.83984375,10786.99,11986.0,0
ba48188d,1,2503,4166,4314762.396624565,32.280841056662744,70.861328125,12271.54,13333.0,2
bb682ebd,2,3451,4139,3779634.3984069824,30.26427729345854,44.193359375,11016.97,12109.0,1
bc4381e2,2,4135,4955,1318168.0264348984,16.43329940461998,23.3720703125,12127.25,13268.0,3
bcebcc5f,2,1207,6258,296436.2006893158,7.954252556932306,21.3359375,10928.62,11952.0,2
bd4ae5da,1,224,5006,28294.280839920044,3.805364741059738,12.6689453125,11877.71,12899.0,0
bd8f847e,1,439,4961,62116.00648498535,5.355936155760844,12.9287109375,12797.82,13513.0,0
be063506,2,363,4500,90098.79907226562,8.244986104851328,30.9423828125,11874.12,13030.0,3
be83e781,2,569,3221,87212.96725463867,7.134701282543526,14.2158203125,11181.45,12366.0,1
beda8696,1,129,5912,17993.912085533142,4.3563029270231555,14.322265625,10951.43,12128.0,0
bf70b410,1,1814,6347,1051262.3073415756,13.08706407284402,35.24609375,10982.53,11940.0,1
c03b9305,3,1232,4255,365768.4637079239,10.480249043257915,23.7880859375,10797.47,11753.0,3
c03d4aed,1,470,4641,63815.24734592438,5.066130680224578,13.076171875,12793.21,13854.0,2
c07fd0cd,1,2756,4191,796989.0406370163,13.890681391762111,25.8125,12532.42,13546.0,3
c1708b88,1,4178,6315,4798406.819714546,27.680602681928384,57.4287109375,11366.3,12347.0,2
c1d046f4,2,2064,5513,477781.067278862,9.812330298487026,17.86328125,11382.18,12464.0,2
c2717d4f,1,1791,4721,287668.25748729706,8.683130324348044,15.54296875,11318.56,12802.0,3
c2c4db09,1,4267,6039,1934475.3849687576,18.004856979500936,28.6904296875,11382.0,12406.0,2
c2c6fc71,3,1378,7119,224083.40285015106,7.1105008904167635,16.849609375,12077.78,13104.0,3
c36625df,2,587,4742,72494.6928396225,7.0456878050744605,13.591796875,11874.22,12804.0,2
c3957531,1,2102,5316,767277.0930519104,12.118292334509801,23.77734375,12663.72,13652.0,2
c42fe306,1,831,5095,400792.39072036743,9.544049148101001,26.8203125,10965.09,12402.0,2
c47e0767,2,745,4356,125605.08752155304,8.252056231356617,19.1083984375,12153.58,13303.0,0
c59b6c4a,2,1585,5499,420097.74853515625,10.17272662440338,19.8798828125,10944.88,11944.0,3
c66be2b8,2,1190,4154,226666.39235305786,8.782213668123925,20.8330078125,11366.95,12389.0,3
c6797dd7,2,2409,4664,650249.5028324127,12.162702532760969,24.80078125,12033.74,12633.0,1
